Station.name,Latitude,Longitude,Section,Array,Type
E21,25.66883,36.75964,,Al Osh Al Sharqi,Release
E20,25.65912,36.75592,,Al Osh Al Sharqi,Release
E24,25.66276,36.76431,,Al Osh Al Sharqi,Release
E13,25.66635,36.75909,,Al Osh Al Sharqi,Release
E28,25.49941,36.99894,,Turtle Bay,Release
E26,25.57048,36.84659,,QUMAN,Release
E25,25.66656,36.76115,,Al Osh Al Sharqi,Release
E23,25.56002,36.8328,,QUMAN,Release
E12,25.55856,36.8324,,QUMAN,Release
E27,25.57091,36.84533,,QUMAN,Release
E22,25.56545,36.83597,,QUMAN,Release
E3,25.57069,36.84571,,QUMAN,Release
E4,25.56433,36.83623,,QUMAN,Release
E5,25.55808,36.83235,,QUMAN,Release
E7,25.56182,36.8337,,QUMAN,Release
E8,25.56285,36.83473,,QUMAN,Release
AK1,25.67437,36.74693,Abu Khalid,Abu Khalid,Hydrophone
AL2,25.53851,36.91802,Abu Laheq,Abu Laheq,Hydrophone
AOG,25.65634,36.71978,Al Osh Al Gharbi,Al Osh Al Gharbi,Hydrophone
AOS1,25.663,36.7678,Al Osh Al Sharqi,Al Osh Al Sharqi,Hydrophone
AOS2,25.6665,36.7642,Al Osh Al Sharqi,Al Osh Al Sharqi,Hydrophone
AOS3,25.66431,36.75544,Al Osh Al Sharqi,Al Osh Al Sharqi,Hydrophone
AOS4,25.6667,36.75832,Al Osh Al Sharqi,Al Osh Al Sharqi,Hydrophone
AOS5,25.65846,36.75521,Al Osh Al Sharqi,Al Osh Al Sharqi,Hydrophone
AOS6,25.66008,36.75787,Al Osh Al Sharqi,Al Osh Al Sharqi,Hydrophone
AOS7,25.6621,36.7651,Al Osh Al Sharqi,Al Osh Al Sharqi,Hydrophone
AOS8,25.66065,36.76154,Al Osh Al Sharqi,Al Osh Al Sharqi,Hydrophone
Deep,25.56643,36.82818,QUMAN,QUMAN,Hydrophone
GH01,25.5662,36.83358,QUMAN,QUMAN,Hydrophone
GH02,25.56579,36.83349,QUMAN,QUMAN,Hydrophone
GH03,25.5656,36.83309,QUMAN,QUMAN,Hydrophone
GH04,25.56529,36.83291,QUMAN,QUMAN,Hydrophone
GH05,25.56506,36.83265,QUMAN,QUMAN,Hydrophone
GH07,25.56436,36.83241,QUMAN,QUMAN,Hydrophone
GH08,25.56404,36.83226,QUMAN,QUMAN,Hydrophone
GH09,25.56369,36.83213,QUMAN,QUMAN,Hydrophone
GH10,25.56336,36.83201,QUMAN,QUMAN,Hydrophone
GH11,25.56307,36.83185,QUMAN,QUMAN,Hydrophone
GH12,25.56283,36.83162,QUMAN,QUMAN,Hydrophone
GH13,25.56256,36.83142,QUMAN,QUMAN,Hydrophone
Qu1,25.572833,36.8452,QUMAN,QUMAN,Hydrophone
Qu10,25.535283,36.847133,QUMAN,QUMAN,Hydrophone
Qu11,25.555083,36.8684,QUMAN,QUMAN,Hydrophone
Qu12,25.557917,36.867183,QUMAN,QUMAN,Hydrophone
Qu13,25.568717,36.836783,QUMAN,QUMAN,Hydrophone
Qu14,25.541867,36.85135,QUMAN,QUMAN,Hydrophone
Qu15,25.55065,36.866133,QUMAN,QUMAN,Hydrophone
Qu2,25.56471,36.83258,QUMAN,QUMAN,Hydrophone
Qu3,25.56224,36.83131,QUMAN,QUMAN,Hydrophone
Qu4,25.539867,36.85668,QUMAN,QUMAN,Hydrophone
Qu5,25.534567,36.836983,QUMAN,QUMAN,Hydrophone
Qu6,25.54875,36.824833,QUMAN,QUMAN,Hydrophone
Qu7,25.54185,36.82805,QUMAN,QUMAN,Hydrophone
Qu8,25.565367,36.85785,QUMAN,QUMAN,Hydrophone
Qu9,25.5455,36.866767,QUMAN,QUMAN,Hydrophone
TB2,25.49917,36.99869,Turtle Bay,Turtle Bay,Hydrophone